2025-01-31 14:47:44.532 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: null
2025-01-31 14:47:44.581 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser2: null
2025-01-31 14:47:44.635 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: null
2025-01-31 14:47:44.651 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: null
2025-01-31 14:47:44.700 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser:   Test   Message  
2025-01-31 14:47:44.707 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 14:47:46.836 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: null
2025-01-31 14:47:46.869 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 14:47:48.937 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: Test Message
2025-01-31 14:47:48.952 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 14:47:51.005 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: test message
2025-01-31 14:47:51.010 [Test worker] WARN  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - Duplicate message detected from user testUser
2025-01-31 14:47:53.223 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 1
2025-01-31 14:47:53.227 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 2
2025-01-31 14:47:53.234 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 3
2025-01-31 14:47:53.244 [Test worker] INFO  o.a.b.DeduplicationBotTest$TestableDeduplicationBot - New message received from user testUser: message 1
